,Unnamed: 0,text,tag
0,0,EU,4
1,1,rejects,0
2,2,German,3
3,3,call,0
4,4,to,0
5,5,boycott,0
6,6,British,3
7,7,lamb,0
8,8,.,0
9,9,Peter,1
10,10,Blackburn,1
11,11,BRUSSELS,2
12,12,1996-08-22,0
13,13,The,0
14,14,European,4
15,15,Commission,4
16,16,said,0
17,17,on,0
18,18,Thursday,0
19,19,it,0
20,20,disagreed,0
21,21,with,0
22,22,German,3
23,23,advice,0
24,24,to,0
25,25,consumers,0
26,26,to,0
27,27,shun,0
28,28,British,3
29,29,lamb,0
30,30,until,0
31,31,scientists,0
32,32,determine,0
33,33,whether,0
34,34,mad,0
35,35,cow,0
36,36,disease,0
37,37,can,0
38,38,be,0
39,39,transmitted,0
40,40,to,0
41,41,sheep,0
42,42,.,0
43,43,Germany,2
44,44,'s,0
45,45,representative,0
46,46,to,0
47,47,the,0
48,48,European,4
49,49,Union,4
50,50,'s,0
51,51,veterinary,0
52,52,committee,0
53,53,Werner,1
54,54,Zwingmann,1
55,55,said,0
56,56,on,0
57,57,Wednesday,0
58,58,consumers,0
59,59,should,0
60,60,buy,0
61,61,sheepmeat,0
62,62,from,0
63,63,countries,0
64,64,other,0
65,65,than,0
66,66,Britain,2
67,67,until,0
68,68,the,0
69,69,scientific,0
70,70,advice,0
71,71,was,0
72,72,clearer,0
73,73,.,0
74,74,"""",0
75,75,We,0
76,76,do,0
77,77,n't,0
78,78,support,0
79,79,any,0
80,80,such,0
81,81,recommendation,0
82,82,because,0
83,83,we,0
84,84,do,0
85,85,n't,0
86,86,see,0
87,87,any,0
88,88,grounds,0
89,89,for,0
90,90,it,0
91,91,",",0
92,92,"""",0
93,93,the,0
94,94,Commission,4
95,95,'s,0
96,96,chief,0
97,97,spokesman,0
98,98,Nikolaus,1
99,99,van,1
100,100,der,1
101,101,Pas,1
102,102,told,0
103,103,a,0
104,104,news,0
105,105,briefing,0
106,106,.,0
107,107,He,0
108,108,said,0
109,109,further,0
110,110,scientific,0
111,111,study,0
112,112,was,0
113,113,required,0
114,114,and,0
115,115,if,0
116,116,it,0
117,117,was,0
118,118,found,0
119,119,that,0
120,120,action,0
121,121,was,0
122,122,needed,0
123,123,it,0
124,124,should,0
125,125,be,0
126,126,taken,0
127,127,by,0
128,128,the,0
129,129,European,4
130,130,Union,4
131,131,.,0
132,132,He,0
133,133,said,0
134,134,a,0
135,135,proposal,0
136,136,last,0
137,137,month,0
138,138,by,0
139,139,EU,4
140,140,Farm,0
141,141,Commissioner,0
142,142,Franz,1
143,143,Fischler,1
144,144,to,0
145,145,ban,0
146,146,sheep,0
147,147,brains,0
148,148,",",0
149,149,spleens,0
150,150,and,0
151,151,spinal,0
152,152,cords,0
153,153,from,0
154,154,the,0
155,155,human,0
156,156,and,0
157,157,animal,0
158,158,food,0
159,159,chains,0
160,160,was,0
161,161,a,0
162,162,highly,0
163,163,specific,0
164,164,and,0
165,165,precautionary,0
166,166,move,0
167,167,to,0
168,168,protect,0
169,169,human,0
170,170,health,0
171,171,.,0
172,172,Fischler,1
173,173,proposed,0
